,ニュースリスト
958,3965
959,2018-07-25
960,800.8
961,805.7
962,794.4
963,795.9
964,10225000
965,3979.5
966,2018-07-26
967,802.4
968,809.2
969,798.6
970,808.9
971,11501000
972,4044.5
973,2018-07-27
974,809.5
975,811
976,803.4
977,810.2
978,13799000
979,4051
980,2018-07-30
981,820
982,824
983,802.8
984,803.1
985,14002000
986,4015.5
987,2018-07-31
988,801
989,801.3
990,777.8
991,778.6
992,22093000
993,3893
994,2018-08-01
995,792
996,794.3
997,776.4
998,779.4
999,15859000
1000,3897
1001,2018-08-02
1002,770
1003,777.8
1004,758.4
1005,762
1006,18368000
1007,3810
1008,2018-08-03
1009,762
1010,764.4
1011,756.3
1012,757.7
1013,10288000
1014,3788.5
1015,2018-08-06
1016,758.8
1017,764.7
1018,754.6
1019,756.2
1020,11089000
1021,3781
1022,2018-08-07
1023,757.5
1024,767.4
1025,756.3
1026,767.1
1027,10246000
1028,3835.5
1029,2018-08-08
1030,775
1031,784
1032,773.3
1033,777.7
1034,12898000
1035,3888.5
1036,2018-08-09
1037,771
1038,772
1039,759.7
1040,767
1041,10657000
1042,3835
1043,2018-08-10
1044,763
1045,763.4
1046,750.7
1047,751.8
1048,14285000
1049,3759
1050,2018-08-13
1051,745.4
1052,748
1053,730.6
1054,730.6
1055,14604000
1056,3653
1057,2018-08-14
1058,738.8
1059,743.6
1060,731.3
1061,742.7
1062,10638000
1063,3713.5
1064,2018-08-15
1065,757
1066,757.5
1067,734.9
1068,738
1069,12042000
1070,3690
1071,2018-08-16
1072,728.3
1073,738
1074,716
1075,732.2
1076,16877000
1077,3661
1078,2018-08-17
1079,738.6
1080,738.8
1081,722.1
1082,724.9
1083,17559000
1084,3624.5
1085,2018-08-20
1086,720.5
1087,729.5
1088,720.5
1089,728
1090,11177000
1091,3640
1092,2018-08-21
1093,723.6
1094,725.3
1095,716.3
1096,717
1097,10954000
1098,3585
1099,2018-08-22
1100,718.8
1101,727.7
1102,718.8
1103,726
1104,10214000
1105,3630
1106,2018-08-23
1107,725.5
1108,726.1
1109,715.5
1110,717.1
1111,12780000
1112,3585.5
1113,2018-08-24
1114,721.9
1115,722.1
1116,715.1
1117,718.1
1118,7889000
1119,3590.5
1120,2018-08-27
1121,720.5
1122,730.7
1123,720.1
1124,728.4
1125,10499000
1126,3642
1127,2018-08-28
1128,732
1129,739.4
1130,730.5
1131,731.2
1132,10212000
1133,3656
1134,2018-08-29
1135,734.2
1136,740.9
1137,734.2
1138,735.6
1139,8978000
1140,3678
1141,2018-08-30
1142,744
1143,745.1
1144,729
1145,730.6
1146,13164000
1147,3653
1148,2018-08-31
1149,725.2
1150,730.5
1151,718.4
1152,725.5
1153,11777000
1154,3627.5
1155,2018-09-03
1156,722.4
1157,724.9
1158,715.4
1159,716
1160,10231000
1161,3580
1162,2018-09-04
1163,714.8
1164,715.2
1165,707.1
1166,711.1
1167,11228000
1168,3555.5
1169,2018-09-05
1170,707.3
1171,713.4
1172,703.7
1173,710.1
1174,18133000
1175,3550.5
1176,2018-09-06
1177,705
1178,709.7
1179,703.9
1180,703.9
1181,12708000
1182,3519.5
1183,2018-09-07
1184,700.9
1185,701.5
1186,692.1
1187,700.6
1188,14317000
1189,3503
1190,2018-09-10
1191,698.3
1192,711.6
1193,696.2
1194,707.1
1195,15661000
1196,3535.5
1197,2018-09-11
1198,710.5
1199,722.7
1200,709
1201,720.5
1202,21321000
1203,3602.5
1204,2018-09-12
1205,729.5
1206,729.5
1207,707.9
1208,711.8
1209,16505000
1210,3559
1211,2018-09-13
1212,711.1
1213,722.9
1214,706.5
1215,718.5
1216,13826000
1217,3592.5
1218,2018-09-14
1219,714.1
1220,732.9
1221,713.8
1222,732.4
1223,25030000
1224,3662
1225,2018-09-18
1226,731.3
1227,736.7
1228,721.1
1229,732.6
1230,18372000
1231,3663
1232,2018-09-19
1233,743.5
1234,753
1235,742
1236,747.2
1237,22928000
1238,3736
1239,2018-09-20
1240,756.1
1241,758.1
1242,747.9
1243,756.8
1244,15523000
1245,3784
1246,2018-09-21
1247,764.5
1248,773.2
1249,763.7
1250,771.8
1251,26405000
1252,3859
1253,2018-09-25
1254,766
1255,777.9
1256,762.2
1257,777.8
1258,16923000
1259,3889
1260,2018-09-26
1261,3857
1262,3904
1263,3841
1264,3894
1265,3073000
1266,3894
1267,2018-09-27
1268,3900
1269,3925
1270,3838
1271,3857
1272,3113900
1273,3857
